Product ID,Variety Name,Country,Shape of tuber,Colour of skin,Colour of flesh,Depth of eyes,Smoothness of skin,Colour of base of lightsprout,Maturity,Height of plants,Frequency of berries
1,Accent,NETHERLANDS,Short - oval,Cream,Light yellow,Shallow - medium,Medium,Pink,Very early to early,Short,Absent
2,Accord,NETHERLANDS,Short - oval,Cream,Cream,Shallow,-,Pink,Early,Medium,Few
3,Adora,-,Oval,Yellow,Light yellow,Shallow - medium,Smooth,-,First Early,-,Few
4,Agria,-,Oval - long,Cream,Deep yellow,Shallow,Medium,Blue,Intermediate,-,Absent
5,Almera,-,Oval - long,Cream,Light yellow,Very shallow - shallow,Smooth,Pink,Early,Medium - tall,Medium
6,Alouette,AUSTRIA,Oval - long,Red,Medium yellow,Shallow,Smooth,Violet,Early Maincrop,Medium,-
7,Ambassador,-,Oval - long,Yellow,Light yellow,Shallow,-,-,First Early,Medium,-
8,Ambo,IRELAND,Short - oval,Red parti-coloured,Cream,Deep,Medium,Violet,Intermediate,Medium - tall,Medium
9,Amora,NETHERLANDS,Oval,Yellow,-,-,-,Pink,Early Maincrop,Medium,Medium
10,Amorosa,UNITED KINGDOM,Oval - long,Red,Medium yellow,Shallow,Medium,Pink,Early,-,Many
11,Angelique,FRANCE,Long,Yellow,Light yellow,Very shallow - shallow,Smooth,-,First Early,-,-
12,Anna,IRELAND,Oval,Cream,Cream,Shallow,Smooth,Absent,Early Maincrop,Medium - tall,Medium
13,Annabelle,-,-,White,-,-,-,Pink,Very early,-,-
14,Anya,UNITED KINGDOM,Oval - long,White,White,Very deep,Medium,Pink,Intermediate,-,Absent
15,Apache,UNITED KINGDOM,Short - oval,Red parti-coloured,Medium yellow,Medium - deep,-,Pink,Intermediate,Medium - tall,-
16,Argos,UNITED KINGDOM,Oval - long,Cream,Cream,Shallow,Smooth,Blue,Intermediate to late,Medium,Few
17,Ariata,NETHERLANDS,Oval - long,Cream,Light yellow,Shallow,Medium,-,Maincrop,Medium,Few
18,Arizona,-,Oval,Yellow,Light yellow,-,-,-,Early Maincrop,-,-
19,Arran Banner,-,Round,Cream,Cream,Medium - deep,Smooth,Pink,Early,-,Absent
20,Arran Comet,-,Oval,White,Cream,Shallow - medium,Smooth,Blue,Early,Short - medium,-
21,Arran Pilot,-,Oval - long,Cream,White,Shallow - medium,Medium,Blue,Early,Medium,Few
22,Arran Victory,-,Short - oval,Blue,White,Medium,Smooth,Blue,Very late,Tall,Absent
23,Arrow,-,-,White,-,-,-,-,Very early,Short,-
24,Arsenal,-,Short - oval,Yellow,Light yellow,Medium,-,Blue,Early Maincrop,Medium - tall,-
25,Asparges,-,Long,Yellow,Medium yellow,Medium - deep,-,Pink,Early Maincrop,Short - medium,Few
26,Asterix,UNITED KINGDOM,Oval - long,Red,Light yellow,Shallow - medium,Medium,Pink,Intermediate,-,Few
27,Athlete,-,Oval,Yellow,Light yellow,Shallow,-,-,Second Early,-,-
28,Atlantic,UNITED STATES,Short - oval,Cream,Cream,Shallow - medium,Medium,Pink,Intermediate,Medium,Medium
29,Avalanche,-,Oval,White,White,Shallow,Smooth,Pink,Early,-,Absent
30,Avondale,IRELAND,Oval,White,Cream,Shallow,Medium,Pink,Late to very late,Tall,Few
31,Axona,UNITED KINGDOM,Oval - long,Red,Cream,Medium,Smooth,Pink,Very late,Medium,Few
32,Ballydoon,-,Oval - long,Cream,White,Very shallow - shallow,-,Pink,Very early to early,-,Medium
33,Balmoral,IRELAND,Oval - long,Red parti-coloured,Light yellow,Very shallow - shallow,Smooth,Pink,Late,-,Few
34,Bambino,UNITED KINGDOM,Short - oval,White,Cream,Shallow - medium,Smooth,Absent,Late,Medium,Absent
35,Banba,IRELAND,Oval - long,Yellow,Light yellow,Shallow,Medium,Pink,Early Maincrop,Medium - tall,Medium
36,Barna,IRELAND,Oval - long,Red,White,Shallow,Smooth,Violet,Intermediate to late,Tall,Few
37,Belle De Fontenay,-,Long,Cream,Light yellow,Shallow,Smooth,Blue,Very early,-,Absent
38,Blue Belle,FRANCE,Oval,Blue parti-coloured,Medium yellow,Shallow - medium,Smooth,Blue,Intermediate,Medium - tall,Many
39,Blue Danube,UNITED KINGDOM,Oval,Blue,White,Medium,Medium,Blue,Late,Tall,-
40,Bonnata,NETHERLANDS,Oval,Cream,Cream,Shallow,Smooth,-,Early Maincrop,Medium,Few
41,Bonnie,UNITED KINGDOM,Short - oval,Red parti-coloured,Cream,Shallow,Smooth,Pink,Late,Medium,Few
42,Bounty,UNITED KINGDOM,Oval,White,Cream,Very shallow - shallow,Smooth,Pink,Intermediate,Medium,-
43,Bremner,UNITED KINGDOM,Oval,White,White,Shallow,-,Pink,Early to intermediate,Medium,Few
44,Bricata,NETHERLANDS,Oval - long,Cream,White,Shallow,Smooth,-,Early Maincrop,-,Few
45,British Queen,-,Short - oval,Cream,Cream,Shallow - medium,Medium,Pink,Early to intermediate,-,Few
46,Brooke,UNITED STATES,Round,Yellow,Medium yellow,Shallow,-,Pink,Intermediate,Medium,Absent
47,Burren,IRELAND,Oval - long,Cream,Medium yellow,Shallow,Medium,Violet,Intermediate,Medium - tall,Medium
48,Bute,UNITED KINGDOM,Short - oval,White,White,Shallow,-,Pink,Early Maincrop,Medium,-
49,Cabaret,UNITED KINGDOM,Oval - long,White,Cream,Shallow,Smooth,Pink,Intermediate,Medium,Absent
50,Caesar,UNITED KINGDOM,Oval - long,Cream,Light yellow,Very shallow - shallow,Smooth,Pink,Intermediate,Medium,Medium
51,Camel,NETHERLANDS,Oval,Red,Cream,Shallow,Smooth,-,Early Maincrop,Medium,Few
52,Camelot,IRELAND,Oval,Red parti-coloured,White,Shallow,Smooth,Absent,Early Maincrop,Medium,Medium
53,Cammeo,-,Oval,White,Light yellow,Shallow,-,Violet,Early Maincrop,-,-
54,Captain,FRANCE,Short - oval,Yellow,Light yellow,Shallow,Smooth,-,Early Maincrop,-,-
55,Cara,IRELAND,Short - oval,Red parti-coloured,Cream,Shallow,Medium,Violet,Very late,Tall - very tall,Medium
56,Carlingford,UNITED KINGDOM,Round,White,White,Shallow,Smooth,Violet,Early to intermediate,Short - medium,Few
57,Carnaval,IRELAND,Oval,Red,Light yellow,Shallow,Medium,Pink,Maincrop,Medium - tall,Few
58,Carolus,AUSTRIA,Oval,Red parti-coloured,Light yellow,Very shallow - shallow,Smooth,Violet,Maincrop,Tall,-
59,Casablanca,UNITED KINGDOM,Short - oval,White,Cream,Shallow,Smooth,Pink,Very early,Short - medium,-
60,Catriona,-,Oval,Blue parti-coloured,Light yellow,Shallow,Smooth,Blue,Early to intermediate,-,Absent
61,Celine,UNITED KINGDOM,Oval - long,Red,Light yellow,Shallow,Smooth,Pink,Early,Medium,Absent
62,Challenger,NETHERLANDS,Oval,Yellow,Light yellow,-,-,-,Early Maincrop,Medium - tall,Medium
63,Charlemont,UNITED KINGDOM,Oval - long,White,Light yellow,Shallow,-,Pink,Intermediate,Medium,-
64,Charlotte,AFGHANISTAN,Oval - long,Cream,Light yellow,Shallow,Smooth,Pink,Early,Medium,Few
65,Charlton,UNITED KINGDOM,Short - oval,Red parti-coloured,Medium yellow,Shallow,-,Pink,Early Maincrop,Medium - tall,-
66,Chaski,UNITED KINGDOM,Oval - long,Red parti-coloured,Cream,Medium,-,Pink,Late,Medium - tall,-
67,Chicago,UNITED KINGDOM,Oval,Red parti-coloured,Light yellow,Very shallow - shallow,-,Pink,Late,Medium - tall,-
68,Chincha,UNITED KINGDOM,Oval - long,Red parti-coloured,Light yellow,Medium - deep,-,Pink,Late,Tall,-
69,Chopin,NETHERLANDS,Short - oval,Yellow,Light yellow,-,-,-,Early Maincrop,Short - medium,Absent
70,Churchill,UNITED KINGDOM,Oval - long,Red parti-coloured,White,Shallow,-,Absent,Very early,Medium,-
71,Claret,UNITED KINGDOM,Oval,Red,Light yellow,Shallow,Medium,Pink,Intermediate to late,Medium,Absent
72,Clevna,UNITED KINGDOM,Oval - long,Red parti-coloured,Cream,Shallow,-,Pink,Intermediate,Medium - tall,Medium
73,Colleen,IRELAND,Oval,Yellow,Light yellow,Shallow,Medium,Violet,Very early to early,Short - medium,Few
74,Compass,NETHERLANDS,-,Yellow,-,-,-,-,Maincrop,-,-
75,Constance,-,Oval,Yellow,Medium yellow,Shallow,Smooth,Violet,Early Maincrop,Tall,-
76,Corolle,FRANCE,Oval,Yellow,Medium yellow,Shallow,Smooth,-,Second Early,-,-
77,Cosmos,UNITED KINGDOM,Oval,Cream,Light yellow,Shallow,Medium,Pink,Intermediate,Medium,Few
78,Courage,UNITED KINGDOM,Round,Red,Cream,Medium,-,Pink,Second Early,Medium,Few
79,Courlan,UNITED STATES,Short - oval,White,Cream,Shallow - medium,Smooth,Pink,Early,Short,Few
80,Crisps4all,NETHERLANDS,Oval,White,Light yellow,Shallow - medium,-,Pink,Intermediate,Medium - tall,-
81,Cultra,IRELAND,Oval,Red parti-coloured,Light yellow,Medium,Smooth,Pink,Early to intermediate,Medium,Absent
82,Daisy,FRANCE,Oval,White,Medium yellow,Shallow - medium,-,Pink,Early to intermediate,Tall,-
83,Desiree,UNITED KINGDOM,Oval - long,Red,Light yellow,Medium,Medium,Pink,Intermediate,Medium,Many
84,Divaa,UNITED KINGDOM,Oval - long,White,White,Shallow,-,Pink,Early,Medium,-
85,Dolly,FRANCE,Round,Red,Medium yellow,Medium,-,Violet,Early Maincrop,Medium - tall,-
86,Druid,IRELAND,Oval,Red,Cream,Shallow,Medium,Pink,Maincrop,Very tall,Medium
87,Duke Of York,-,Oval,Cream,Light yellow,Very shallow - shallow,Medium,Pink,Very early,Short,Absent
88,Dunbar Rover,-,Oval,Cream,White,Shallow,-,Pink,Early,-,Few
89,Dunbar Standard,-,Oval - long,Cream,White,Shallow,Smooth,Pink,Late,Tall - very tall,Absent
90,Dundrod,-,Oval,Cream,Cream,Shallow,Smooth,Pink,Very early to early,-,Absent
91,Dunluce,-,Oval,Cream,Cream,Shallow,Smooth,Pink,Early,-,Absent
92,Edony,FRANCE,Round,Yellow,Medium yellow,Medium,-,Blue,Maincrop,Tall,-
93,Edzell Blue,-,Short - oval,Blue,Cream,-,Medium,Blue,Intermediate,-,Absent
94,Electra,-,Oval,Yellow,Medium yellow,Shallow,-,-,Early Maincrop,-,-
95,Elisabeth,UNITED KINGDOM,Oval - long,Yellow,Medium yellow,Deep,-,-,Very early,Short,Absent
96,Elland,UNITED KINGDOM,Oval - long,White,Cream,Shallow,-,Pink,Early Maincrop,Medium - tall,-
97,Ellie,FRANCE,Oval,Yellow,Light yellow,Very shallow - shallow,-,Pink,Early Maincrop,Medium,-
98,Emblem,UNITED KINGDOM,Round,White,Light yellow,Shallow,-,Pink,Early,Short,-
99,Emily,UNITED KINGDOM,-,-,-,-,-,-,-,-,-
100,Emma,IRELAND,Round,Cream,Light yellow,Shallow,Smooth,Violet,First Early,Short - medium,Medium
101,Epicure,-,Round,Cream,White,Deep - very deep,Medium,Pink,Very early,Short - medium,Absent
102,Erntestolz,-,Short - oval,Cream,Light yellow,Medium,Medium,Pink,Early to intermediate,Tall,Absent
103,Estima,-,Oval,Cream,Light yellow,Very shallow - shallow,Smooth,Pink,Early,Medium,Few
104,Eurostar,NETHERLANDS,Oval,Cream,Cream,Shallow,Smooth,-,Maincrop,Tall,Medium
105,Excalibur,UNITED KINGDOM,Oval,White,Cream,Shallow,-,Pink,Late,Short - medium,-
106,Fambo,NETHERLANDS,Oval,Cream,Light yellow,Shallow - medium,Medium,Pink,Early,Medium,Absent
107,Fandango,AUSTRIA,-,-,-,-,-,-,-,-,-
108,Fianna,NETHERLANDS,Oval,Cream,White,Shallow,Smooth,Pink,Intermediate,-,Few
109,Fontane,-,Oval,White,Medium yellow,Shallow - medium,Medium,Blue,Intermediate,Medium - tall,Medium
110,Foremost,-,Short - oval,White,Cream,Shallow - medium,-,Pink,First Early,Short - medium,-
111,Gabriel,-,Round,White,White,Deep,-,Blue,Intermediate,Tall,Many
112,Gael,UNITED KINGDOM,Oval,Yellow,Medium yellow,Shallow,Smooth,Blue,Late,Medium,Few
113,Galactica,IRELAND,Oval - long,Red parti-coloured,Light yellow,Shallow - medium,-,Pink,Early Maincrop,Medium - tall,Few
114,Gatsby,UNITED KINGDOM,Oval - long,White,Cream,Shallow,-,Pink,Early Maincrop,Short - medium,-
115,Gemson,UNITED KINGDOM,Short - oval,White,Cream,Shallow - medium,Smooth,Pink,Early,Medium,Medium
116,Georgina,GERMANY,-,-,-,-,-,-,-,-,-
117,Gervioline,FRANCE,Long,Blue,Cream,Shallow,-,Blue,Early,Short - medium,-
118,Golden Beauty,-,Round,Yellow,Medium yellow,Very shallow - shallow,-,Blue,Maincrop,Medium,-
119,Golden Nugget,UNITED KINGDOM,Short - oval,White,Cream,Very shallow - shallow,-,Pink,Late,Short,-
120,Golden Sun,-,Short - oval,White,White,Shallow,-,Blue,Late Maincrop,Medium - tall,-
121,Golden Wonder,-,Oval - long,Cream,Light yellow,Shallow - medium,Medium,Blue,Late to very late,Very tall,Few
122,Gourmandine,-,Oval - long,Yellow,Light yellow,Very shallow - shallow,-,-,Second Early,-,-
123,Gwenne,FRANCE,Long,Yellow,Medium yellow,Shallow,-,Violet,Second Early,Medium - tall,-
124,Habibi,IRELAND,Oval - long,Red parti-coloured,White,Shallow,Medium,Pink,Maincrop,Medium,Medium
125,Harlequin,UNITED KINGDOM,Very long,Red parti-coloured,Cream,Very shallow,-,Pink,Intermediate,Tall,Few
126,Harmony,UNITED KINGDOM,Round,White,White,Shallow,Smooth,Pink,Early Maincrop,Short - medium,Absent
127,Heraclea,NETHERLANDS,-,-,-,-,-,-,-,-,-
128,Hermes,UNITED KINGDOM,Oval,Cream,Light yellow,Shallow - medium,Medium,Pink,Early to intermediate,Tall,Absent
129,Highland Burgundy Red,-,Oval - long,Red,Parti-coloured red,Shallow - medium,Rough,-,Maincrop,Medium,-
130,Home Guard,-,Short - oval,White,White,Shallow,Medium,Blue,Very early to early,Medium,Absent
131,Horizon,-,Oval,Cream,White,Shallow - medium,Smooth,Pink,Intermediate,Medium,Few
132,Imagine,AUSTRIA,-,-,-,-,-,-,-,-,-
133,Inca Bella,UNITED KINGDOM,Oval - long,Red parti-coloured,Light yellow,Shallow,-,Pink,Late,Medium,-
134,Inca Dawn,UNITED KINGDOM,Oval - long,Red parti-coloured,Deep yellow,Medium - deep,Smooth,Pink,Very late,Short,Many
135,Infinity,IRELAND,Short - oval,Red,Cream,Shallow,-,-,Early Maincrop,-,-
136,Innovator,NETHERLANDS,Oval - long,Russet,Light yellow,-,Rough,Absent,Second Early,-,-
137,International Kidney,-,Oval - long,White,Light yellow,Shallow,Smooth,Blue,Intermediate to late,Medium,Absent
138,Isle Of Jura,UNITED KINGDOM,Oval - long,White,Cream,Shallow,Smooth,Pink,Intermediate,Medium,Few
139,Ivory Russet,NETHERLANDS,Long,Yellow,White,Shallow,-,Pink,Second Early,-,-
140,Jaerla,-,Short - oval,Cream,Light yellow,Shallow - medium,Medium,Pink,Very early to early,-,Absent
141,Jazzy,NETHERLANDS,Long,Cream,Light yellow,Shallow,Smooth,-,First Early,Medium,-
142,Jelly,-,Oval,Yellow,Medium yellow,Very shallow,-,-,Maincrop,-,-
143,Jester,UNITED KINGDOM,Short - oval,White,Cream,Shallow,-,Violet,Second Early,Short - medium,-
144,Joshua,-,Round,White,White,Very deep,-,Blue,Late,Tall - very tall,Few
145,Jubilee,-,Short - oval,White,Cream,Shallow,-,Pink,Maincrop,Medium,-
146,Juliette,FRANCE,Long,Yellow,Medium yellow,Very shallow - shallow,Smooth,-,Late,-,-
147,Karlena,GERMANY,Short - oval,Cream,Light yellow,Shallow,Medium,Pink,Early,Medium - tall,-
148,Kelly,FRANCE,Oval - long,White,White,Shallow,Rough,-,Maincrop,-,-
149,Kennebec,UNITED STATES,Oval,Cream,Cream,Shallow,Smooth,Pink,Early to intermediate,Medium,Absent
150,Kerr's Pink,-,Short - oval,Red,Cream,Medium,Smooth,Pink,Maincrop,Very tall,Absent
151,Kestrel,UNITED KINGDOM,Oval - long,Blue parti-coloured,Cream,Shallow - medium,Smooth,Blue,Early,Medium,Absent
